what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311236238753
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311236319925
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1311236328251
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311236336383
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1311236347884
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311236348645
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1311236360042
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311236371439
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311236513480
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311236521873
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311246880647
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311246887568
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311294573963
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1311294576985
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311294580021
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311294636236
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.export",1311294636249
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.export",1311294636249
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311294648401
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311294650170
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1311294650187
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1311294652181
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1311294653486
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1311294653520
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1311294653550
